"","X1","X2","Class"
"1",-3,-3,5
"2",-3,3,4
"3",3,-3,6
"4",3,3,3
"5",-0.417091,0.114782,1
"6",0.054031,0.296411,1
"7",-0.337597,0.346704,1
"8",-0.0469,-0.319833,1
"9",0.000955,-0.07788,1
"10",0.163704,-0.171811,1
"11",-0.140118,0.163781,1
"12",0.228946,-0.032098,1
"13",0.379642,-0.006396,1
"14",-0.38736,-0.217393,1
"15",-0.077707,-0.28845,1
"16",-0.141468,-0.132688,1
"17",0.132764,-0.312654,1
"18",-0.157673,-0.279198,1
"19",-0.25882,-0.08331,1
"20",0.032572,-0.274695,1
"21",-0.333664,0.15261,1
"22",-0.48088,0.023882,1
"23",-0.06806,-0.368618,1
"24",0.36105,-0.001467,1
"25",0.276191,-0.309596,1
"26",-0.198664,0.024887,1
"27",-0.256391,-0.000411,1
"28",-0.028428,-0.240332,1
"29",-0.055645,0.395318,1
"30",0.074451,-0.493023,1
"31",-0.026067,0.361214,1
"32",0.383108,-0.118063,1
"33",-0.021727,0.357367,1
"34",0.102986,-0.30644,1
"35",0.468553,0.087124,1
"36",0.12418,-0.466284,1
"37",-0.257262,-0.344154,1
"38",0.164727,-0.305763,1
"39",0.1532,-0.166946,1
"40",-0.196484,0.361061,1
"41",-0.164265,-0.423242,1
"42",-0.115913,0.141906,1
"43",0.234838,-0.284737,1
"44",0.435577,-0.065952,1
"45",-0.289824,-0.281036,1
"46",-0.218331,0.339873,1
"47",-0.202617,-0.282583,1
"48",-0.026528,0.28171,1
"49",-0.483938,-0.054453,1
"50",0.254847,0.029124,1
"51",0.151301,0.328701,1
"52",0.363223,0.115736,1
"53",0.289041,0.174952,1
"54",-0.150278,0.013699,1
"55",-0.339199,0.258462,1
"56",-0.350247,-0.233266,1
"57",0.344694,0.26715,1
"58",-0.114448,0.455282,1
"59",0.244537,-0.131137,1
"60",0.225986,0.374462,1
"61",0.020745,-0.433563,1
"62",-0.395291,0.212906,1
"63",0.116611,-0.11174,1
"64",0.257534,-0.282931,1
"65",0.343805,0.324066,1
"66",0.251776,0.116866,1
"67",0.086153,-0.20082,1
"68",0.356909,0.277047,1
"69",0.312987,-0.043657,1
"70",-0.114046,-0.111282,1
"71",0.298053,0.181913,1
"72",0.118238,-0.21706,1
"73",-0.173326,-0.154074,1
"74",0.030702,0.199872,1
"75",0.213141,0.051191,1
"76",0.251399,0.427102,1
"77",-0.269086,-0.108423,1
"78",0.033437,0.399934,1
"79",0.457203,0.110673,1
"80",-0.074223,0.193374,1
"81",-0.359819,0.249111,1
"82",0.124456,-0.352495,1
"83",0.341155,0.098995,1
"84",-0.005881,0.104674,1
"85",-0.112263,0.451392,1
"86",0.072218,0.175771,1
"87",0.334987,0.147189,1
"88",-0.245983,0.431956,1
"89",0.187681,0.127815,1
"90",0.367402,-0.045258,1
"91",0.086355,-0.484465,1
"92",-0.055052,-0.032666,1
"93",-0.120351,-0.165883,1
"94",0.185503,0.009657,1
"95",-0.063001,-0.215206,1
"96",0.412701,0.272724,1
"97",0.418969,-0.23997,1
"98",0.265939,0.203513,1
"99",-0.414731,0.061117,1
"100",0.122346,-0.059322,1
"101",-0.237728,-0.371516,1
"102",0.203956,-0.136592,1
"103",-0.246536,0.373248,1
"104",-0.255736,-0.148834,1
"105",-0.261775,-0.14916,1
"106",-0.078347,-0.301668,1
"107",-0.109616,0.014732,1
"108",0.407264,-0.279452,1
"109",-0.376277,-0.265622,1
"110",0.136678,-0.202126,1
"111",-0.226188,0.06653,1
"112",-0.209745,-0.27916,1
"113",0.319662,-0.278387,1
"114",-0.155399,-0.170747,1
"115",-0.250948,0.155745,1
"116",0.091075,-0.141205,1
"117",0.086432,-0.100749,1
"118",0.33973,-0.251211,1
"119",-0.095128,-0.489837,1
"120",-0.090071,-0.123932,1
"121",0.296653,0.117622,1
"122",-0.043592,-0.407347,1
"123",-0.023685,0.369931,1
"124",0.284005,-0.093725,1
"125",0.135003,-0.416826,1
"126",0.09722,-0.229766,1
"127",0.056048,-0.419367,1
"128",-0.018443,-0.215657,1
"129",0.450918,0.101916,1
"130",-0.069914,-0.370064,1
"131",0.289353,0.152345,1
"132",-0.358799,-0.052178,1
"133",0.396667,-0.287684,1
"134",0.192061,-0.431303,1
"135",0.473072,-0.102406,1
"136",0.424102,0.011433,1
"137",-0.202846,0.410411,1
"138",-0.061676,-0.422046,1
"139",0.196555,-0.185122,1
"140",-0.316782,0.298918,1
"141",0.32528,-0.232386,1
"142",-0.223484,0.000855,1
"143",0.466622,0.100569,1
"144",0.10118,0.44625,1
"145",0.067975,0.235974,1
"146",0.11038,-0.414997,1
"147",-0.161207,-0.241422,1
"148",0.36302,-0.30807,1
"149",-0.378477,0.079974,1
"150",0.115448,-0.03071,1
"151",-0.229183,-0.230945,1
"152",-0.419495,0.216733,1
"153",0.078126,-0.130877,1
"154",-0.348665,0.352816,1
"155",0.152172,0.150695,1
"156",-0.112574,0.367624,1
"157",-0.13462,-0.113183,1
"158",-0.031422,-0.342442,1
"159",0.219669,-0.143099,1
"160",-0.045984,-0.349971,1
"161",0.154865,0.040346,1
"162",0.306212,0.061651,1
"163",-0.249965,0.211136,1
"164",-0.33856,-0.180189,1
"165",-0.052157,-0.337266,1
"166",-0.182594,0.360442,1
"167",0.184229,0.364236,1
"168",-0.003698,-0.353275,1
"169",-0.333647,-0.012547,1
"170",-0.430163,0.053116,1
"171",-0.007771,-0.484919,1
"172",0.09118,0.158873,1
"173",0.131428,0.451591,1
"174",-0.363213,-0.237737,1
"175",-0.340136,-0.238136,1
"176",0.042899,0.010711,1
"177",-0.211193,0.362193,1
"178",0.190646,0.409921,1
"179",-0.04378,0.007239,1
"180",-0.141509,-0.36771,1
"181",-0.183189,-0.09396,1
"182",0.025525,0.262914,1
"183",-0.39615,-0.247679,1
"184",0.289389,-0.115387,1
"185",-0.214694,0.256074,1
"186",-0.232027,0.037193,1
"187",0.160644,-0.18909,1
"188",-0.472898,0.018208,1
"189",0.105815,-0.146683,1
"190",0.173689,-0.08504,1
"191",-0.240536,-0.175811,1
"192",-0.448165,-0.131969,1
"193",0.102044,-0.117252,1
"194",-0.470606,-0.032378,1
"195",-0.392684,-0.026442,1
"196",0.223471,0.354554,1
"197",0.084889,-0.464481,1
"198",-0.490438,-0.078025,1
"199",0.342746,-0.129409,1
"200",-0.031715,0.211373,1
"201",-0.042768,0.387193,1
"202",0.194788,-0.386815,1
"203",0.437043,-0.223718,1
"204",0.304604,0.015624,1
"205",-0.448604,0.120673,1
"206",0.032034,0.267205,1
"207",0.087631,0.315058,1
"208",-0.086247,-0.438046,1
"209",-0.043041,0.448721,1
"210",-0.31042,-0.261817,1
"211",0.369368,-0.214133,1
"212",0.443764,0.172707,1
"213",0.094012,0.074562,1
"214",-0.102423,-0.388076,1
"215",-0.492157,-0.043656,1
"216",0.33171,-0.063156,1
"217",0.310161,-0.330903,1
"218",0.407342,0.17281,1
"219",-0.00086,0.496081,1
"220",-0.169843,0.20556,1
"221",-0.164204,0.024741,1
"222",0.229668,-0.109903,1
"223",0.082798,-0.248726,1
